oa11cd,x,y,lat,lon
E00042665,425731,564928,54.9783,-1.5995151
E00042671,425558,564791,54.977078,-1.6022301
E00042592,423584,564313,54.972879,-1.633109
E00042812,423312,563534,54.965892,-1.637421
E00042661,425561,564849,54.977599,-1.6021781
E00175561,425148,564189,54.971689,-1.6086881
E00175595,425360,564168,54.971489,-1.6053783
E00042803,422449.105,563488.58,54.965518,-1.6509035
E00042411,427473.248,565849.983,54.986483,-1.5722113
E00042490,422955.326,567535.877,55.001861,-1.642678
E00042882,422155.274,565848.747,54.986738,-1.6553139
E00042160,420866.107,573107.32,55.052023,-1.67493
E00042800,429223.592,564974.539,54.978521,-1.5449538
E00042881,421719.199,566087.447,54.988905,-1.6621092
E00042161,420856.996,572955.259,55.050657,-1.6750976
E00042801,428584.523,564835.22,54.977309,-1.554951
E00042880,422469.87,565896.364,54.987155,-1.6504034
E00042418,427022.428,566385.008,54.991324,-1.5792085
E00042499,422713.778,567184.516,54.998718,-1.6464888
E00042419,427330.538,566146.553,54.98916,-1.5744176
E00042498,423059.298,567061.785,54.997597,-1.6410902
E00042168,424383.661,570372,55.027287,-1.6201138
E00042808,422687.68,563702.927,54.96743,-1.6471695
E00042169,423781.296,570475.163,55.028241,-1.6295221
E00042888,421906.098,565844.947,54.986713,-1.6592053
E00042157,420611.339,573100.869,55.05197,-1.6789218
E00042154,423080.174,572735.571,55.048582,-1.640306
E00042155,423262.358,572599.576,55.047352,-1.6374686
E00042152,421889.08,569258.508,55.017392,-1.6592112
E00042153,423272.279,572860.762,55.049697,-1.6372909
E00042150,421262.649,569259.965,55.017428,-1.6690166
E00042151,421720.429,569303.427,55.017804,-1.6618508
E00042158,420942.793,573473.252,55.055308,-1.6737137
E00042159,421109.64,573368.084,55.054358,-1.6711073
E00042666,426458.401,565052.637,54.979376,-1.5881455
E00042106,421340.779,566432.396,54.992021,-1.6680065
E00042187,427585.955,566926.598,54.996155,-1.5703578
E00042667,426220.896,565045.54,54.979326,-1.5918646
E00042107,427131.832,564491.684,54.974299,-1.5776836
E00042186,428114.993,566929.139,54.996152,-1.5620891
E00042664,426628.537,565038.795,54.979241,-1.5854907
E00042104,421625.397,566636.338,54.993842,-1.663537
E00042185,426189.355,566895.76,54.995951,-1.5921805
E00042184,427403.447,566796.66,54.994997,-1.5732149
E00042662,426394.738,565123.878,54.980018,-1.5891389
E00042102,421012.852,566693.635,54.99438,-1.6731137
E00042183,427817.152,566897.674,54.995882,-1.5667344
E00042663,426180.231,565093.006,54.979759,-1.5924852
E00042103,421348.804,566652.719,54.993998,-1.6678652
E00042182,426344.539,566939.055,54.996339,-1.5897538
E00042100,421843.947,566493.893,54.992548,-1.6601406
E00042101,421433.134,566939.383,54.996573,-1.6665153
E00042668,426489.885,564976.303,54.978692,-1.5876682
E00042108,427091.498,564384.912,54.97334,-1.5783185
E00042189,425936.077,568270.622,55.00832,-1.5960109
E00042669,425845.7,564771.088,54.976883,-1.5977481
E00042109,427778.975,564145.226,54.971154,-1.5676096
E00042188,426901.19,566539.619,54.992715,-1.5810851
E00042656,426767.996,565315.772,54.981723,-1.5832933
E00042657,426568.133,565233.951,54.980997,-1.5864102
E00042654,426374.009,565659.999,54.984835,-1.5894023
E00042655,426013.323,565274.918,54.981394,-1.595078
E00042652,426780.071,565461.655,54.983034,-1.5830766
E00042653,425837.645,565377.252,54.982329,-1.5978187
E00042650,425704.804,565308.974,54.981716,-1.599903
E00042651,426160.641,565412.803,54.982627,-1.5927687
E00042658,426829.34,565209.454,54.980767,-1.5823344
E00042659,426683.827,565148.371,54.980227,-1.5846212
E00042606,423246.327,564920.135,54.97835,-1.6383401
E00042687,420245.572,565181.924,54.980825,-1.685208
E00042607,423324.526,564883.803,54.978013,-1.6371244
E00042686,420083.093,565175.669,54.980778,-1.6877396
E00042604,424125.046,565311.61,54.981821,-1.6245743
E00042685,419835.516,564694.791,54.976465,-1.6916476
E00042683,426164.279,565663.812,54.984882,-1.5926834
E00042600,423760.335,565371.648,54.982378,-1.6302724
E00042601,424340.217,565376.367,54.982395,-1.6212094
E00042608,423220.285,564729.25,54.976634,-1.6387617
E00042689,420105.159,564970.094,54.978935,-1.6874102
E00042609,424374.568,564738.513,54.97666,-1.6207322
E00042688,419658.94,565067.494,54.979824,-1.6943874
E00042347,420501.89,565386.445,54.982657,-1.6811936
E00042344,422187.579,565377.89,54.982504,-1.6548502
E00042342,421155.888,565467.099,54.983358,-1.6709687
E00042343,420835.819,565640.908,54.984926,-1.6759564
E00042340,421620.608,565471.648,54.983374,-1.6637026
E00042341,421259.751,565533.409,54.983946,-1.6693388
E00042348,421962.856,565090.5,54.979935,-1.6583877
E00042349,421304.65,565268.726,54.981563,-1.6686553
E00042336,419956.909,565854.111,54.986884,-1.6896769
E00042337,420623.89,565827.464,54.986615,-1.6792557
E00042334,420472.13,565921.038,54.987466,-1.6816087
E00042335,420181.798,565849.163,54.98683,-1.6861612
E00042332,420531.276,566231.207,54.990249,-1.6806646
E00042333,420958.385,565876.628,54.987041,-1.6740172
E00042330,420105.524,566049.068,54.988631,-1.6873349
E00042331,420792.368,566077.056,54.988854,-1.6765968
E00042338,420354.407,565528.802,54.983939,-1.6834805
E00042339,421327.863,565675.592,54.985219,-1.6682658
E00042576,423647.211,564796.389,54.977216,-1.6320852
E00042577,423808.038,564704.288,54.976382,-1.6295775
E00042574,428235.257,563766.395,54.967723,-1.5605082
E00042575,428059.975,563791.071,54.967958,-1.5632548
E00042572,428292.657,564105.294,54.970766,-1.5595846
E00042573,428377.573,563836.778,54.968344,-1.5582834
E00042570,428240.232,564344.739,54.972917,-1.5603734
E00042571,428038.548,564124.464,54.970951,-1.5635503
E00042578,423390.674,564455.038,54.974164,-1.636128
E00042579,425051.807,564608.883,54.975459,-1.6101669
E00042526,418055.922,565121.503,54.98037,-1.7194296
E00042527,417833.351,565237.963,54.98142,-1.7228911
E00042524,418404.543,565295.498,54.981921,-1.7139656
E00042525,418850.183,565205.038,54.981095,-1.7070027
E00042522,417873.133,565443.925,54.98327,-1.7222533
E00042523,418166.158,565219.001,54.981246,-1.7176891
E00042521,418620.993,565271.557,54.981697,-1.7105922
E00042528,418334.451,565142.552,54.980548,-1.7150691
E00042529,419295.889,564991.234,54.979155,-1.7000641
E00042516,418690.697,564984.871,54.979115,-1.709517
E00042597,424045.232,565520.356,54.983703,-1.6258068
E00042517,418226.798,565740.292,54.985926,-1.7167187
E00042596,423862.547,565604.001,54.984467,-1.6286593
E00042514,419382.731,565171.054,54.980769,-1.6986927
E00042595,423682.941,565688.151,54.98523,-1.6314651
E00042906,420123.139,567533.049,55.001965,-1.6869499
E00042515,419173.969,564902.842,54.97836,-1.7019761
E00042594,424260.484,565453.016,54.983091,-1.622453
E00042907,419904.558,567424.872,55.000994,-1.690381
E00042512,422625.126,567903.803,55.005183,-1.6478078
E00042593,423707.583,564273.178,54.972514,-1.6311909
E00042904,420355.419,567573.233,55.002315,-1.6833203
E00042513,419490.044,565443.818,54.983209,-1.6969869
E00042905,420479.706,567466.438,55.001349,-1.6813894
E00042510,422161.309,567952.448,55.005644,-1.6550582
E00042591,423484.807,564481.24,54.974394,-1.6346575
E00042511,422857.251,567961.665,55.005694,-1.6441761
E00042590,423625.965,564590.476,54.975366,-1.6324458
E00042903,422766.669,564799.614,54.977284,-1.6458489
E00042900,423057.312,564959.514,54.978709,-1.6412898
E00042901,423160.054,564934.308,54.978479,-1.6396826
E00175578,425706.43,564414.694,54.973682,-1.5999516
E00042599,423937.156,565598.835,54.984409,-1.6274879
E00175554,420776.175,564339.562,54.973237,-1.6769721
E00042519,418789.448,565535.709,54.984063,-1.7079343
E00042598,423682.226,565479.204,54.983352,-1.6314823
E00175569,423177.689,570250.849,55.026248,-1.6389886
E00042908,420234.683,567437.255,55.001098,-1.6852214
E00175566,423659.098,570245.271,55.02618,-1.6314495
E00042909,420239.172,567337.512,55.000199,-1.6851503
E00175567,423390.635,570424.996,55.027802,-1.6356426
E00175559,424846.033,563819.299,54.968379,-1.6134375
E00175563,425417.672,563959.147,54.969609,-1.6045064
E00175580,426102.789,564152.767,54.971308,-1.5937892
E00175583,425725.484,564257.402,54.972271,-1.5996688
E00175590,427096.799,567567.937,55.001942,-1.5779406
E00175589,427307.866,567638.176,55.002568,-1.5746354
E00175603,421677.102,567157.528,54.998522,-1.662685
E00175592,421144.201,566908.672,54.996307,-1.6710348
E00175605,423583.15,571844.33,55.040553,-1.6325069
E00175591,422978.747,570663.387,55.029968,-1.6420683
E00175596,421821.227,565340.535,54.982188,-1.6605718
E00175584,423848.79,565097.775,54.979912,-1.6289201
E00042766,429230.467,564076.555,54.970452,-1.5449356
E00042767,429411.252,563994.289,54.969704,-1.5421167
E00042764,428673.877,564267.83,54.9722,-1.5536171
E00175588,426038.376,564430.426,54.973809,-1.5947637
E00042765,429161.083,564539.856,54.974616,-1.5459665
E00175565,427496.772,567214.999,54.998748,-1.5717213
E00042762,428799.856,564566.996,54.97488,-1.5516189
E00042763,428422.075,564332.481,54.972799,-1.5575315
E00042760,429287.7,564321.707,54.97265,-1.5440204
E00042761,428570.416,564442.52,54.973779,-1.5552087
E00042768,428809.989,565234.367,54.980882,-1.5513959
E00042769,429317.125,564892.821,54.977779,-1.5434936
E00042756,429395.836,564741.605,54.976418,-1.5422904
E00042757,429185.036,564670.94,54.975792,-1.5455783
E00042754,428951.861,563472.173,54.96504,-1.5493544
E00175581,419962.865,564076.516,54.970907,-1.6897063
E00042755,428720.234,563224.013,54.962825,-1.5529869
E00042752,428893.303,563659.852,54.966724,-1.5502415
E00042753,429137.607,563591.694,54.966099,-1.5464374
E00042750,429206.487,563845.084,54.968377,-1.545334
E00042751,429196.902,563641.057,54.966545,-1.5455108
E00042758,429374.939,564599.353,54.975143,-1.5426329
E00042759,428961.341,564518.057,54.974439,-1.549093
E00042706,424724.581,568026.686,55.006189,-1.6149817
E00042787,429423.336,565757.561,54.985546,-1.541749
E00042707,424253.25,567826.19,55.004415,-1.6223623
E00042786,428870.532,566044.219,54.988157,-1.5503615
E00042704,419691.212,565318.351,54.982078,-1.6938547
E00042785,429187.041,566077.428,54.988435,-1.5454043
E00042705,419992.653,565341.827,54.982273,-1.68915
E00042784,428388.303,566027.16,54.988032,-1.5578954
E00042702,419803.752,565491.403,54.983628,-1.6920928
E00042783,429415.742,566129.269,54.988889,-1.541836
E00042782,428987.939,566165.921,54.989237,-1.5485209
E00042781,428647.722,566129.157,54.988934,-1.5538379
E00042780,429042.611,566334.107,54.990753,-1.5476443
E00042708,424967.716,567403.685,55.000579,-1.6112366
E00042789,428755.937,565593.503,54.984111,-1.5522037
E00042709,425136.011,567360.091,55.000184,-1.6085986
E00042788,429547.449,565866.102,54.986518,-1.5398002
E00042046,422116.597,563648.529,54.96697,-1.6560923
E00042047,421866.976,563624.548,54.966766,-1.6599989
E00042044,420509.207,564622.209,54.975791,-1.6811229
E00042045,421551.722,564088.46,54.970949,-1.6648842
E00042042,421259.393,564639.754,54.975913,-1.6694048
E00042043,420448.616,564819.213,54.977564,-1.6820619
E00042048,420434.645,565063.405,54.979757,-1.6822634
E00042049,420632.499,564993.341,54.97912,-1.6791748
E00042276,423176.274,564244.369,54.972278,-1.6394881
E00042277,423260.1,564185.84,54.971744,-1.6381807
E00042274,421847.74,564399.872,54.973731,-1.6602369
E00042275,422460.797,564186.348,54.97179,-1.6506774
E00042272,422879.804,564224.884,54.972112,-1.6441292
E00042273,422337.136,564357.76,54.973332,-1.6525855
E00042270,422113.439,564425.872,54.973953,-1.6560795
E00042271,422512.392,564377.966,54.973504,-1.6498501
E00042278,422009.812,564118.547,54.971199,-1.6577276
E00042279,422721.299,564167.174,54.971607,-1.6466018
E00042226,426606.912,566896.85,54.995938,-1.5856626
E00042227,426861.314,566865.992,54.995646,-1.5816798
E00042224,428090.501,567048.171,54.997223,-1.5624526
E00042225,427859.262,567001.117,54.996814,-1.5660678
E00042222,426587.787,567070.187,54.997503,-1.5859435
E00042223,426253.503,567301.784,54.999596,-1.5911431
E00042220,427999.522,567189.065,54.998495,-1.5638612
E00042221,427026.723,567230.092,54.998917,-1.5790665
E00042228,419687.777,566818.871,54.995558,-1.6938147
E00042229,418719.013,566588.054,54.993528,-1.7089598
E00042216,426906.107,567274.931,54.999319,-1.5809382
E00042297,422946.809,568582.37,55.01127,-1.6427351
E00042217,426108.43,567250.377,54.999146,-1.5934144
E00042296,422649.36,568454.192,55.010133,-1.6473892
E00042214,426854.49,567390.699,55.000364,-1.5817402
E00042295,422126.665,568516.538,55.010714,-1.655562
E00042215,426757.254,567418.985,55.000621,-1.5832539
E00042294,423086.554,568669.286,55.012045,-1.640539
E00042212,426569.706,567490.324,55.001278,-1.5861861
E00042293,422630.017,568828.169,55.013495,-1.6476568
E00042213,427993.517,567513.656,55.001407,-1.5639235
E00042292,422760.516,569753.189,55.021801,-1.6455507
E00042210,426301.76,567498.816,55.001364,-1.5903748
E00042291,422960.001,568407.863,55.009697,-1.6425302
E00042211,425627.464,567625.077,55.00254,-1.6008997
E00042290,423200.021,568784.563,55.013074,-1.6387472
E00042299,421967.205,568367.625,55.009382,-1.6580595
E00042219,426604.133,567313.587,54.999686,-1.5856553
E00042298,423138.597,568379.649,55.009437,-1.6397493
E00042466,425345.342,565822.772,54.986353,-1.605467
E00042467,425648.515,565630.066,54.984612,-1.6007493
E00042464,425111.507,565870.324,54.986796,-1.6091194
E00042465,425966.545,565914.434,54.987148,-1.5957546
E00042462,425636.887,566074.392,54.988603,-1.6008972
E00042463,425216.129,566058.08,54.98848,-1.6074622
E00042460,425766.651,566166.582,54.989423,-1.5988574
E00042461,425457.35,566110.247,54.988935,-1.6036914
E00042468,425433.041,565594.923,54.9843,-1.604112
E00042469,425298.098,565654.741,54.984846,-1.6062162
E00042456,425783.676,566449.259,54.991965,-1.5985664
E00042457,425690.518,566348.658,54.991062,-1.6000289
E00042846,418172.128,567180.089,54.998868,-1.7174718
E00042454,425908.284,566368.833,54.991231,-1.5966201
E00042847,418667.371,567134.991,54.998436,-1.7097371
E00042455,425571.629,566309.728,54.990718,-1.6018921
E00042844,418723.663,567341.055,55.000294,-1.7088483
E00042452,424999.015,566373.802,54.991322,-1.6108259
E00042845,417895.719,567222.889,54.999255,-1.7217991
E00042453,425468.273,566588.434,54.99323,-1.6034771
E00042842,418162.63,567469.099,55.001465,-1.7176099
E00042450,425015.975,566486.786,54.992336,-1.6105661
E00042843,419901.214,567269.917,54.999602,-1.6904386
E00042451,425313.13,566470.635,54.992178,-1.6059101
E00042840,419158.616,567486.221,55.001581,-1.7020387
E00042841,419396.357,567403.801,55.000826,-1.6983237
E00042458,425250.296,566318.209,54.990815,-1.606908
E00042459,425797.825,566271.96,54.990365,-1.5983636
E00042848,419259.22,567291.499,54.999825,-1.7004728
E00042849,419073.483,567210.75,54.999104,-1.7033857
E00042406,427368.025,565623.772,54.984458,-1.5738735
E00042487,422828.964,567620.808,55.002631,-1.6446566
E00042407,426992.688,566231.99,54.989942,-1.5796918
E00042486,422360.585,567318.662,54.999938,-1.6519963
E00042836,420432.082,566982.2,54.997001,-1.6821585
E00042404,427242.701,566263.734,54.990216,-1.5757818
E00042485,422321.771,567700.905,55.003373,-1.6525763
E00042837,417660.038,567405.435,55.000908,-1.7254613
E00042405,427501.496,566174.484,54.989402,-1.5717426
E00042484,422630.353,567688.776,55.003251,-1.6477465
E00042834,417580.15,566880.133,54.996193,-1.726744
E00042402,427825.273,566639.407,54.993563,-1.5666343
E00042483,422858.485,567820.79,55.004427,-1.6441717
E00042835,418394.442,566857.036,54.995957,-1.7140222
E00042482,423061.721,567805.572,55.004283,-1.6409993
E00042832,419368.265,567057.505,54.997718,-1.6987847
E00042400,424665.439,568777.85,55.01294,-1.6158396
E00042481,421892.344,567196.139,54.998863,-1.6593213
E00042833,419549.768,567009.114,54.997279,-1.6959587
E00042401,425101.558,568779.413,55.012937,-1.6090218
E00042480,422454.231,567835.893,55.00458,-1.6504865
E00042830,424381.88,563933.694,54.969426,-1.620691
E00042831,419768.877,567132.523,54.998376,-1.6925271
E00042408,426887.086,565960.318,54.987513,-1.581358
E00042489,422467.586,567526.243,55.001803,-1.6503074
E00042409,427518.819,566000.494,54.987838,-1.5714936
E00042488,422606.286,567431.584,55.000943,-1.6481419
E00042838,418900.655,567399.92,55.000809,-1.7060776
E00042146,421448.717,569545.486,55.01999,-1.6660865
E00042147,421961.086,569640.422,55.020821,-1.6580561
E00042144,421612.366,569671.567,55.021115,-1.6635121
E00042145,421604.929,569534.122,55.019884,-1.6636475
E00042142,421892.435,569108.788,55.016044,-1.6591757
E00042143,421090.826,569145.413,55.016411,-1.6717149
E00042140,421613.379,569167.919,55.016586,-1.6635344
E00042141,421372.418,569120.971,55.016174,-1.6673067
E00042148,422052.14,569392.865,55.018589,-1.6566518
E00042149,421428.726,569300.14,55.017789,-1.6664176
E00042136,426808.041,564457.135,54.974011,-1.5827326
E00042137,427679.646,564521.36,54.974539,-1.5691199
E00042134,426548.868,564550.374,54.974861,-1.5867856
E00042135,427283.821,564609.172,54.975351,-1.5752979
E00042132,426978.275,564583.292,54.975134,-1.5800651
E00042133,427163.564,564610.244,54.975367,-1.5771724
E00042130,427659.664,564699.889,54.976139,-1.5694153
E00042131,427342.61,564693.734,54.976103,-1.5743682
E00042138,427505.105,564520.444,54.974539,-1.5718382
E00042139,427568.362,564341.169,54.972927,-1.5708712
E00042646,425597.73,565059.907,54.979484,-1.601597
E00042647,426320.943,564998.378,54.978898,-1.5903065
E00042644,426111.803,565154.403,54.980311,-1.5935577
E00042645,425764.282,565185.923,54.980608,-1.5989765
E00042642,425967.771,565336.82,54.981954,-1.5957912
E00042643,426345.268,565207.798,54.980775,-1.5898968
E00042640,417651.793,565335.212,54.982307,-1.7257288
E00042641,426264.673,565733.869,54.985506,-1.5911144
E00042648,425906.252,565506.238,54.983485,-1.596729
E00042649,426127.177,565471.254,54.983159,-1.5932789
E00042636,416597.024,565696.766,54.985587,-1.742177
E00042637,416908.482,565536.139,54.984139,-1.7373265
E00042634,416271.737,566345.104,54.99143,-1.7472346
E00042635,415436.894,566143.041,54.989641,-1.7602954
E00042632,415737.43,566291.583,54.990961,-1.7555833
E00042633,417727.114,566255.302,54.990572,-1.7244847
E00042630,415398.782,566451.713,54.99241,-1.7608728
E00042631,415517.6,566441.042,54.992316,-1.7590135
E00042638,416704.158,565446.769,54.983337,-1.7405194
E00042639,417490.533,565381.521,54.982726,-1.7282417
E00042376,423269.562,568312.702,55.008829,-1.6377064
E00042377,423454.35,568343.276,55.009099,-1.6348114
E00042374,424798.39,568289.602,55.008549,-1.613802
E00042375,424184.854,568266.645,55.008372,-1.623404
E00042372,424944.233,568371.384,55.009278,-1.6115122
E00042373,424671.369,568263.957,55.008321,-1.6157899
E00042370,424436.464,568395.151,55.009519,-1.619453
E00042371,424109.454,568251.108,55.008241,-1.6245779
E00042378,424530.492,568303.269,55.008688,-1.6179911
E00042379,424280.159,568232.459,55.008062,-1.6219059
E00042326,421119.627,565180.806,54.98078,-1.6715523
E00042327,420661.459,566042.49,54.988545,-1.6786465
E00042324,420050.762,565675.618,54.985272,-1.6882205
E00042325,421512.076,565452.308,54.983208,-1.6653916
E00042322,422979.665,568915.838,55.014261,-1.6421925
E00042323,421465.827,565595.143,54.984495,-1.6661153
E00042320,422155.668,569037.456,55.015394,-1.6550684
E00042321,422743.854,569003.822,55.015062,-1.645876
E00042328,421124.515,565729.072,54.985713,-1.6714339
E00042329,420292.643,566129.989,54.989342,-1.6844069
E00042316,422714.589,569123.493,55.016142,-1.64632
E00042397,424092.868,568939.668,55.014424,-1.624786
E00042317,422561.184,569072.982,55.015691,-1.6487166
E00042396,424424.295,568973.907,55.014714,-1.6195915
E00042314,422463.09,569388.074,55.018535,-1.6502245
E00042395,424282.179,569060.345,55.015502,-1.6218047
E00042315,422976.689,569237.618,55.017154,-1.6422137
E00042394,423805.777,569114.426,55.01601,-1.6292595
E00042312,422890.011,569397.412,55.018596,-1.6435458
E00042393,423764.867,568936.819,55.014413,-1.6299154
E00042313,422711.206,569306.293,55.017787,-1.6463524
E00042392,424497.673,569175.626,55.016525,-1.6184327
E00042310,422640.203,569737.985,55.021663,-1.6474288
E00042391,423995.482,569098.02,55.015858,-1.6262896
E00042390,424397.439,569171.558,55.016494,-1.6199969
E00042318,422207.466,568942.168,55.014538,-1.6542625
E00042399,424918.701,568897.332,55.014006,-1.6118731
E00042319,422421.973,569038.741,55.015391,-1.6509086
E00042398,423567.507,568787.014,55.013083,-1.6330082
E00042566,428158.811,564534.07,54.974629,-1.5616358
E00042567,428279.67,564655.413,54.975709,-1.5597336
E00042564,428191.743,564989.429,54.978715,-1.5610757
E00042565,427896.319,564699.049,54.976126,-1.5657127
E00042562,428079.259,564928.877,54.978174,-1.5628315
E00042563,428325.041,564828.808,54.977261,-1.558998
E00042560,428385.971,565009.456,54.978884,-1.5580428
E00042561,428137.927,564724.344,54.976337,-1.5619453
E00042568,427819.687,564557.855,54.974854,-1.5669294
E00042569,428096.766,564348.286,54.972961,-1.5626225
E00042556,427734.993,564863.86,54.977609,-1.5682278
E00042557,428211.779,565445.924,54.982812,-1.5607185
E00042554,428057.569,563508.832,54.965415,-1.5633136
E00042555,428428.776,563279.91,54.963336,-1.5575418
E00042552,428009.804,563671.131,54.966882,-1.5640474
E00042553,428225.739,563449.472,54.964875,-1.5606955
E00042550,428402.572,563430.203,54.964694,-1.5579329
E00042551,428356.361,563602.064,54.966243,-1.5586344
E00042558,428215.115,565534.911,54.983611,-1.5606473
E00042559,428262.233,565202.927,54.980625,-1.5599455
E00042506,422917.731,567020.133,54.997235,-1.643313
E00042587,423345.651,564578.938,54.975272,-1.6368211
E00042507,421997.935,566829.077,54.99556,-1.657708
E00042586,423770.53,564420.23,54.973832,-1.6301946
E00042504,422615.335,567126.575,54.998202,-1.6480252
E00042585,423601.906,564685.461,54.976221,-1.632813
E00042505,421833.222,566899.293,54.996196,-1.6602661
E00042584,423912.767,564647.338,54.975865,-1.6279575
E00042502,423553.251,567083.206,54.997772,-1.6333667
E00042583,425046.741,564677.134,54.976079,-1.610239
E00042503,421781.033,567026.854,54.99734,-1.6610692
E00042582,423301.893,564719.618,54.976541,-1.637497
E00042500,423233.293,567144.583,54.998335,-1.6383637
E00042581,423428.768,564861.811,54.977811,-1.6355014
E00042501,423246.575,566871.592,54.995881,-1.6381825
E00042580,424563.704,564659.705,54.975941,-1.6177862
E00042930,420461.525,567745.81,55.003857,-1.681651
E00042508,422345.817,566267.926,54.990495,-1.6523123
E00042589,423570.295,564510.829,54.97465,-1.6333116
E00042509,422193.579,566384.201,54.991553,-1.6546788
E00042588,423224.815,564529.589,54.974837,-1.6387153
E00175604,421727.237,567363.103,55.000371,-1.6618879
E00175601,427530.167,567089.407,54.997623,-1.5712018
E00175562,427151.699,564053.255,54.970362,-1.5774124
E00175594,425476.515,565321.952,54.981844,-1.6034643
E00175582,428617.423,563488.044,54.965203,-1.5545693
E00175557,426194.032,564307.398,54.972696,-1.592338
E00175572,422422.192,570735.645,55.030641,-1.6507605
E00175602,421582.146,567303.241,54.999838,-1.664159
E00175550,426704.036,564003.897,54.969937,-1.5843993
E00175600,423631.713,564955.235,54.978646,-1.6323221
E00042746,428928.498,563781.914,54.967818,-1.5496826
E00042747,429120.13,563971.356,54.969515,-1.5466645
E00042745,428700.845,563880.918,54.968721,-1.5532339
E00042742,428978.513,563359.83,54.964023,-1.5489441
E00042743,429402.905,563729.867,54.967324,-1.5422844
E00042740,428529.062,564124.47,54.970924,-1.5558807
E00042741,428709.459,564074.104,54.970464,-1.553074
E00042748,429044.641,563837.172,54.968315,-1.5478651
E00042736,425243.713,568002.424,55.005948,-1.6068696
E00042737,425356.271,567947.406,55.005448,-1.6051078
E00042734,425378.568,568215.626,55.007855,-1.6047402
E00042735,424279.862,568060.942,55.006516,-1.6219361
E00042732,425533.308,568350.679,55.00906,-1.6023048
E00042733,425352.905,568307.426,55.008683,-1.6051386
E00042730,424160.689,567008.434,54.997069,-1.6238849
E00042731,423957.874,567054.372,54.997492,-1.6270541
E00042738,425300.06,567952.206,55.005495,-1.6059828
E00042739,424127.556,567934.107,55.005392,-1.6243231
